,suffer_in_favour,suffer_against,suffer_other,control
LinearRegression,0.06669892370700836,0.057849910110235214,0.04392196610569954,0.10177627950906754
RandomForestRegressor,0.053512891260117365,0.04334482321992523,0.01150528615560809,0.07151999962716775
LGBMRegressor,0.05384115610241149,0.04757489901185562,0.011235233955611839,0.05893001135437546
GradientBoostingRegressor,0.048531702577344696,0.04931447744322775,0.010789890731369423,0.08038713374131713
AdaBoostRegressor,0.05709018581241454,0.040609478228522185,0.010436408113062916,0.048292094993061786
SVR,0.04223122693464789,0.032577599199033025,0.012602634969534813,0.055193127479105965
MLPRegressor,0.05120255798101425,0.05298600718379021,0.03034256212413311,0.04828111454844475
Lasso,0.07802636921405792,0.04790855199098587,0.010595780797302723,0.16033680737018585
Ridge,0.04286948963999748,0.04083681106567383,0.02982347644865513,0.07195796817541122
