,suffer_in_favour,suffer_against,suffer_other,control
LinearRegression,0.07195813953876495,0.0782647356390953,0.026997460052371025,0.11092176288366318
RandomForestRegressor,0.04728992737763593,0.037380537565526215,0.010666750381537854,0.06226071259002082
LGBMRegressor,0.04070184949830501,0.044069472929133144,0.015495096764435484,0.059949893897929506
GradientBoostingRegressor,0.04118137337981032,0.043759237800569804,0.01614337015226167,0.05532427245193307
AdaBoostRegressor,0.03493335744690161,0.031886026770826824,0.013010585557520448,0.05470234864070174
SVR,0.05600787731229152,0.03463576307517059,0.01255855063268385,0.0796981509702903
MLPRegressor,0.03693610429763794,0.03918103128671646,0.013429527170956135,0.06278101354837418
Lasso,0.07802636921405792,0.04790855199098587,0.010595780797302723,0.16033680737018585
Ridge,0.03871284797787666,0.03775692358613014,0.011200053617358208,0.06794542819261551
