,suffer_in_favour,suffer_against,suffer_other,control
LinearRegression,0.06374599784612656,0.05892539024353027,0.023974742740392685,0.08997438102960587
RandomForestRegressor,0.05087303470372096,0.03463732306418147,0.012033179048727671,0.050305391938721626
LGBMRegressor,0.04554930871706705,0.03071925617469107,0.015715269652380886,0.03897240866159587
GradientBoostingRegressor,0.05361065695848545,0.03886070244487073,0.011614762706847406,0.04796683439616945
AdaBoostRegressor,0.04700462138984155,0.0339195437529351,0.010946415119047898,0.04607128703969565
SVR,0.04479205714836002,0.031168672254218405,0.012535454217169359,0.05048992338476061
MLPRegressor,0.049882855266332626,0.04343352094292641,0.009318322874605656,0.05353165045380592
Lasso,0.07802636921405792,0.04790855199098587,0.010595780797302723,0.16033680737018585
Ridge,0.03926195949316025,0.03713879734277725,0.011268312111496925,0.05075865611433983
