,suffer_in_favour,suffer_against,suffer_other,control
LinearRegression,0.13823401586449036,-0.2514992224957677,-3.245970461055081,0.36119926603053587
RandomForestRegressor,0.30860072368293656,0.06229746025730143,-0.11222491705810556,0.5511033508639152
LGBMRegressor,0.3043594638844467,-0.02921410949282821,-0.0861187618804018,0.6301246536852345
GradientBoostingRegressor,0.3729588656066667,-0.06684737206037328,-0.043067087724173225,0.49544861355922
AdaBoostRegressor,0.26238122766264593,0.1214726916914447,-0.00889564943832033,0.6968937397209911
SVR,0.454362508677256,0.2952307740959875,-0.2183064761819995,0.6535792769873008
MLPRegressor,0.33845086707255534,-0.14627567759417204,-1.933238666224352,0.6969626316985114
Lasso,-0.008119304861635257,-0.03643220915222867,-0.02430221119817233,-0.0063568201071759756
Ridge,0.44611598968556343,0.11655473663382931,-1.8830582769432973,0.5483544114476578
