estimator,rmse_mean,r2_score_mean
ridge,0.25436708331108093,0.4886360811532545
ada,0.25653060647525044,0.47990027997021023
lgbm,0.2586395877870442,0.47131347292243664
svr,0.2597973887109729,0.4665695447455822
rf,0.26421578950152785,0.4482710417623469
mlp,0.31861183047294617,0.19770872953723417
