,r2_score_b_label,mean_squared_error_b_label,mean,std,task,embedding_model
LinearRegression,-0.02297706024905266,0.12943676822684858,0.05322985398889796,0.07620691423795062,b,PlanTL-GOB-ES/roberta-base-bne
RandomForestRegressor,0.5572474197745012,0.05602125925925927,0.30663433951688024,0.25061308025762097,b,PlanTL-GOB-ES/roberta-base-bne
LGBMRegressor,0.5115327543802843,0.0618055126693588,0.2866691335248216,0.22486362085546277,b,PlanTL-GOB-ES/roberta-base-bne
GradientBoostingRegressor,0.5335897640175172,0.05901465043487546,0.2963022072261963,0.23728755679132088,b,PlanTL-GOB-ES/roberta-base-bne
AdaBoostRegressor,0.5382655219330594,0.058423029158977485,0.29834427554601844,0.239921246387041,b,PlanTL-GOB-ES/roberta-base-bne
SVR,0.5649798094582847,0.055042883917102624,0.3100113466876937,0.25496846277059104,b,PlanTL-GOB-ES/roberta-base-bne
MLPRegressor,0.40876571346593404,0.07480857419739675,0.24178714383166539,0.16697856963426863,b,PlanTL-GOB-ES/roberta-base-bne
Lasso,-0.008020749481816525,0.12754435381646467,0.059761802167324074,0.0677825516491406,b,PlanTL-GOB-ES/roberta-base-bne
Ridge,0.5207120595570014,0.060644059844255395,0.2906780597006284,0.230033999856373,b,PlanTL-GOB-ES/roberta-base-bne
