,r2_score_b_label,mean_squared_error_b_label,mean,std,task,embedding_model
LinearRegression,-0.14960707610248325,0.14545919986240471,-0.0020739381200392676,0.147533137982444,b,dccuchile/bert-base-spanish-wwm-cased
RandomForestRegressor,0.5702588790112746,0.05437492592592596,0.3123169024686003,0.2579419765426743,b,dccuchile/bert-base-spanish-wwm-cased
LGBMRegressor,0.5254071753376235,0.06004998922751387,0.2927285822825687,0.2326785930550548,b,dccuchile/bert-base-spanish-wwm-cased
GradientBoostingRegressor,0.6027574949353505,0.05026289254754906,0.32651019374144974,0.27624730119390073,b,dccuchile/bert-base-spanish-wwm-cased
AdaBoostRegressor,0.5911173879421976,0.051735709377519465,0.32142654865985854,0.26969083928233906,b,dccuchile/bert-base-spanish-wwm-cased
SVR,0.5844362248492833,0.05258107355267779,0.31850864920098054,0.26592757564830277,b,dccuchile/bert-base-spanish-wwm-cased
MLPRegressor,0.15863519171335072,0.10645746216236011,0.13254632693785542,0.026088864775495303,b,dccuchile/bert-base-spanish-wwm-cased
Lasso,-0.008020749481816525,0.12754435381646467,0.059761802167324074,0.0677825516491406,b,dccuchile/bert-base-spanish-wwm-cased
Ridge,0.12871397579122523,0.11024337842663563,0.11947867710893043,0.0092352986822948,b,dccuchile/bert-base-spanish-wwm-cased
